image,label,score,x1,y1,x2,y2,source_prompt,detection_summary,llm_prompt,generated_question_flan_base,generated_question_flan_large,generated_question_llama70b,generated_question_llama8b
image_2_jpg.rf.8df448081dde58fa8af07a416bdd84b3.jpg,hairdryer,0.1266508996486663,82.90086364746094,68.41072082519531,532.421875,613.5489501953125,baseline,Image file: image_2_jpg.rf.8df448081dde58fa8af07a416bdd84b3.jpg. Detected amenity: hairdryer. Detection confidence: low (0.13). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_2_jpg.rf.8df448081dde58fa8af07a416bdd84b3.jpg. Detected amenity: hairdryer. Detection confidence: low (0.13). Source prompt type: baseline. Question:",What is a hairdryer in a hotel?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_213_jpg.rf.7f391b31c32428bb89678b1648b2fe93.jpg,hairdryer,0.1107390150427818,9.37875747680664,78.19174194335938,646.2325439453125,518.2324829101562,baseline,Image file: image_213_jpg.rf.7f391b31c32428bb89678b1648b2fe93.jpg. Detected amenity: hairdryer. Detection confidence: low (0.11). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_213_jpg.rf.7f391b31c32428bb89678b1648b2fe93.jpg. Detected amenity: hairdryer. Detection confidence: low (0.11). Source prompt type: baseline. Question:",What is a hairdryer in a hotel?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_3_jpg.rf.b0aa366ebbf555c57aa9d25b11c62508.jpg,hairdryer,0.4496848285198211,78.98811340332031,9.918651580810549,591.8076171875,632.7880859375,baseline,Image file: image_3_jpg.rf.b0aa366ebbf555c57aa9d25b11c62508.jpg. Detected amenity: hairdryer. Detection confidence: medium (0.45). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_3_jpg.rf.b0aa366ebbf555c57aa9d25b11c62508.jpg. Detected amenity: hairdryer. Detection confidence: medium (0.45). Source prompt type: baseline. Question:",What type of amenity does the hairdryer have?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_113_jpg.rf.8fe60c21b8e1d39aeac00c7caf2ec323.jpg,hairdryer,0.3518679440021515,366.5673522949219,175.99684143066406,576.7930297851562,643.19140625,baseline,Image file: image_113_jpg.rf.8fe60c21b8e1d39aeac00c7caf2ec323.jpg. Detected amenity: hairdryer. Detection confidence: medium (0.35). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_113_jpg.rf.8fe60c21b8e1d39aeac00c7caf2ec323.jpg. Detected amenity: hairdryer. Detection confidence: medium (0.35). Source prompt type: baseline. Question:",What type of amenity does the hairdryer have?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_120_jpg.rf.e4b2ddad1fc0c6291c75e29b800c7cb2.jpg,hairdryer,0.2015177458524704,40.22274017333984,7.414264678955078,557.0294189453125,638.7670288085938,baseline,Image file: image_120_jpg.rf.e4b2ddad1fc0c6291c75e29b800c7cb2.jpg. Detected amenity: hairdryer. Detection confidence: low (0.20). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_120_jpg.rf.e4b2ddad1fc0c6291c75e29b800c7cb2.jpg. Detected amenity: hairdryer. Detection confidence: low (0.20). Source prompt type: baseline. Question:",What is a hairdryer in a hotel?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_187_jpg.rf.0f544c0522e09095abbde905d8d987e0.jpg,hairdryer,0.1964432150125503,18.78276824951172,53.331031799316406,643.475830078125,636.804931640625,baseline,Image file: image_187_jpg.rf.0f544c0522e09095abbde905d8d987e0.jpg. Detected amenity: hairdryer. Detection confidence: low (0.20). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_187_jpg.rf.0f544c0522e09095abbde905d8d987e0.jpg. Detected amenity: hairdryer. Detection confidence: low (0.20). Source prompt type: baseline. Question:",What is a hairdryer in a hotel?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_208_jpg.rf.7f5f7997086cc940882df9a3c38c9c8e.jpg,hairdryer,0.1264452934265136,43.50858688354492,153.9801025390625,477.8877258300781,638.2564697265625,baseline,Image file: image_208_jpg.rf.7f5f7997086cc940882df9a3c38c9c8e.jpg. Detected amenity: hairdryer. Detection confidence: low (0.13). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_208_jpg.rf.7f5f7997086cc940882df9a3c38c9c8e.jpg. Detected amenity: hairdryer. Detection confidence: low (0.13). Source prompt type: baseline. Question:",What type of amenity is hairdryer?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_223_jpg.rf.a8468978715313d3034110ecfe3a71be.jpg,hairdryer,0.2926410436630249,104.02711486816406,27.13644027709961,545.8306884765625,638.8361206054688,baseline,Image file: image_223_jpg.rf.a8468978715313d3034110ecfe3a71be.jpg. Detected amenity: hairdryer. Detection confidence: low (0.29). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_223_jpg.rf.a8468978715313d3034110ecfe3a71be.jpg. Detected amenity: hairdryer. Detection confidence: low (0.29). Source prompt type: baseline. Question:",What is a hairdryer in a hotel?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is there a hairdryer available in the room?
image_182_jpg.rf.3f7a9330c603e926eb91fc8e48ca1fa6.jpg,hairdryer,0.2220486998558044,7.472438812255859,126.13531494140624,632.6736450195312,581.0186157226562,baseline,Image file: image_182_jpg.rf.3f7a9330c603e926eb91fc8e48ca1fa6.jpg. Detected amenity: hairdryer. Detection confidence: low (0.22). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_182_jpg.rf.3f7a9330c603e926eb91fc8e48ca1fa6.jpg. Detected amenity: hairdryer. Detection confidence: low (0.22). Source prompt type: baseline. Question:",What type of amenity does the hairdryer have?,What is the name of the amenity that is detected in this image?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_121_jpg.rf.c97725f3cda2e24d214b1299a23e3ba6.jpg,hairdryer,0.35145103931427,78.37478637695312,58.93199920654297,549.39111328125,638.6539916992188,baseline,Image file: image_121_jpg.rf.c97725f3cda2e24d214b1299a23e3ba6.jpg. Detected amenity: hairdryer. Detection confidence: medium (0.35). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_121_jpg.rf.c97725f3cda2e24d214b1299a23e3ba6.jpg. Detected amenity: hairdryer. Detection confidence: medium (0.35). Source prompt type: baseline. Question:",What type of amenity is hairdryer?,What is the name of the hotel amenity in the image?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_212_jpg.rf.513d3d8d3c589989790f5bd712037b9e.jpg,hairdryer,0.1061221286654472,27.05760955810547,32.38670349121094,628.3426513671875,640.2198486328125,baseline,Image file: image_212_jpg.rf.513d3d8d3c589989790f5bd712037b9e.jpg. Detected amenity: hairdryer. Detection confidence: low (0.11). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_212_jpg.rf.513d3d8d3c589989790f5bd712037b9e.jpg. Detected amenity: hairdryer. Detection confidence: low (0.11). Source prompt type: baseline. Question:",What is a hairdryer in a hotel?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_212_jpg.rf.513d3d8d3c589989790f5bd712037b9e.jpg,hairdryer,0.2478472739458084,280.10028076171875,103.83689880371094,630.3875732421875,621.4309692382812,baseline,Image file: image_212_jpg.rf.513d3d8d3c589989790f5bd712037b9e.jpg. Detected amenity: hairdryer. Detection confidence: low (0.25). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_212_jpg.rf.513d3d8d3c589989790f5bd712037b9e.jpg. Detected amenity: hairdryer. Detection confidence: low (0.25). Source prompt type: baseline. Question:",What is a hairdryer in a hotel?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
image_81_jpg.rf.96b8fcb55da1561f40269a4587f5fad4.jpg,hairdryer,0.1145657300949096,29.6096420288086,82.99999237060547,609.0653076171875,646.8658447265625,baseline,Image file: image_81_jpg.rf.96b8fcb55da1561f40269a4587f5fad4.jpg. Detected amenity: hairdryer. Detection confidence: low (0.11). Source prompt type: baseline.,"You are generating hotel amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel amenity related question that a guest may ask or a guest might want to be answeredwhile browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_81_jpg.rf.96b8fcb55da1561f40269a4587f5fad4.jpg. Detected amenity: hairdryer. Detection confidence: low (0.11). Source prompt type: baseline. Question:",What is a hairdryer in a hotel?,What is the name of the hotel that has a hairdryer?,Is a hairdryer provided in the room?,Is a hairdryer provided in the room?
